carrier,delivery_date,order_id,shipment_date,shipment_id,shipment_status,tracking_number
UPS,09-05-2024,217,07-05-2024,217,Pending,TRK660729
DHL,22-01-2024,218,19-01-2024,218,Delivered,TRK960131
FedEx,11-12-2023,219,04-12-2023,219,Pending,TRK123392
UPS,01-02-2024,220,25-01-2024,220,Shipped,TRK551408
DHL,04-05-2024,221,30-04-2024,221,Cancelled,TRK952712
FedEx,28-11-2023,222,23-11-2023,222,Delivered,TRK561679
UPS,31-03-2024,223,26-03-2024,223,Shipped,TRK000178
DHL,30-03-2024,224,25-03-2024,224,Pending,TRK466990
FedEx,09-01-2024,225,04-01-2024,225,Delivered,TRK450201
UPS,17-06-2024,226,09-06-2024,226,Delivered,TRK838899
DHL,16-06-2024,227,09-06-2024,227,Shipped,TRK911143
FedEx,19-10-2024,228,17-10-2024,228,Pending,TRK573881
UPS,24-11-2023,229,22-11-2023,229,Delivered,TRK887216
DHL,16-02-2024,230,11-02-2024,230,Cancelled,TRK259732
FedEx,30-10-2024,231,23-10-2024,231,Delivered,TRK311317
UPS,29-08-2024,232,24-08-2024,232,Shipped,TRK800569
DHL,23-11-2023,233,17-11-2023,233,Delivered,TRK532812
FedEx,06-10-2024,234,29-09-2024,234,Pending,TRK947776
UPS,02-05-2024,235,29-04-2024,235,Shipped,TRK979475
DHL,21-03-2024,236,15-03-2024,236,Delivered,TRK978801
FedEx,22-11-2023,237,20-11-2023,237,Shipped,TRK099270
UPS,13-04-2024,238,12-04-2024,238,Delivered,TRK269510
DHL,16-08-2024,239,12-08-2024,239,Pending,TRK979808
FedEx,25-09-2024,240,18-09-2024,240,Delivered,TRK948923
UPS,28-02-2024,241,26-02-2024,241,Delivered,TRK602225
DHL,02-10-2024,242,27-09-2024,242,Shipped,TRK711051
FedEx,06-09-2024,243,30-08-2024,243,Shipped,TRK420473
UPS,19-11-2023,244,13-11-2023,244,Pending,TRK885770
DHL,02-09-2024,245,27-08-2024,245,Shipped,TRK823176
FedEx,02-08-2024,246,26-07-2024,246,Delivered,TRK734359
UPS,24-05-2024,247,20-05-2024,247,Pending,TRK337976
DHL,25-10-2024,248,18-10-2024,248,Pending,TRK311659
FedEx,25-06-2024,249,24-06-2024,249,Shipped,TRK313610
UPS,12-08-2024,250,11-08-2024,250,Delivered,TRK485711
DHL,20-12-2023,251,16-12-2023,251,Delivered,TRK878683
FedEx,03-04-2024,252,27-03-2024,252,Delivered,TRK019877
UPS,10-06-2024,253,05-06-2024,253,Shipped,TRK935298
DHL,15-10-2024,254,11-10-2024,254,Pending,TRK498928
FedEx,22-09-2024,255,21-09-2024,255,Delivered,TRK109810
UPS,12-10-2024,256,10-10-2024,256,Delivered,TRK249994
DHL,31-05-2024,257,26-05-2024,257,Delivered,TRK893758
FedEx,23-01-2024,258,19-01-2024,258,Delivered,TRK702239
UPS,19-06-2024,259,17-06-2024,259,Delivered,TRK959126
DHL,20-07-2024,260,19-07-2024,260,Pending,TRK360921
FedEx,15-10-2024,261,09-10-2024,261,Delivered,TRK999426
UPS,22-11-2023,262,14-11-2023,262,Shipped,TRK269867
DHL,26-07-2024,263,24-07-2024,263,Delivered,TRK975978
FedEx,24-01-2024,264,21-01-2024,264,Cancelled,TRK423347
UPS,30-06-2024,265,25-06-2024,265,Shipped,TRK849862
DHL,28-10-2024,266,27-10-2024,266,Shipped,TRK952116
FedEx,26-04-2024,267,23-04-2024,267,Shipped,TRK750829
UPS,27-09-2024,268,21-09-2024,268,Shipped,TRK777366
DHL,19-05-2024,269,18-05-2024,269,Pending,TRK661250
FedEx,19-12-2023,270,17-12-2023,270,Shipped,TRK342671
UPS,07-06-2024,271,01-06-2024,271,Delivered,TRK151164
DHL,27-01-2024,272,23-01-2024,272,Delivered,TRK725760
FedEx,15-09-2024,273,09-09-2024,273,Shipped,TRK337645
UPS,12-10-2024,274,09-10-2024,274,Delivered,TRK961231
DHL,24-01-2024,275,19-01-2024,275,Delivered,TRK454702
FedEx,25-01-2024,276,20-01-2024,276,Delivered,TRK742723
UPS,10-12-2023,277,08-12-2023,277,Delivered,TRK009431
DHL,29-06-2024,278,21-06-2024,278,Shipped,TRK659930
FedEx,08-04-2024,279,03-04-2024,279,Cancelled,TRK165593
UPS,01-10-2024,280,25-09-2024,280,Delivered,TRK766771
DHL,30-12-2023,281,27-12-2023,281,Shipped,TRK216708
FedEx,10-04-2024,282,08-04-2024,282,Shipped,TRK747963
UPS,17-11-2023,283,13-11-2023,283,Delivered,TRK083560
DHL,21-07-2024,284,18-07-2024,284,Delivered,TRK262287
FedEx,08-06-2024,285,31-05-2024,285,Shipped,TRK050171
UPS,28-05-2024,286,24-05-2024,286,Shipped,TRK693744
DHL,13-06-2024,287,11-06-2024,287,Pending,TRK396776
FedEx,08-03-2024,288,05-03-2024,288,Pending,TRK673295
UPS,21-08-2024,289,16-08-2024,289,Delivered,TRK329862
DHL,14-05-2024,290,09-05-2024,290,Delivered,TRK284736
FedEx,06-02-2024,291,04-02-2024,291,Delivered,TRK444141
UPS,28-06-2024,292,24-06-2024,292,Pending,TRK109673
DHL,17-04-2024,293,16-04-2024,293,Cancelled,TRK361409
FedEx,29-08-2024,294,26-08-2024,294,Pending,TRK839025
UPS,13-10-2024,295,05-10-2024,295,Cancelled,TRK932379
DHL,13-06-2024,296,09-06-2024,296,Shipped,TRK184044
FedEx,26-11-2023,297,25-11-2023,297,Pending,TRK484527
UPS,11-11-2024,298,03-11-2024,298,Delivered,TRK041950
DHL,02-11-2024,299,25-10-2024,299,Delivered,TRK273290
FedEx,02-04-2024,300,28-03-2024,300,Pending,TRK533759
UPS,06-09-2024,301,30-08-2024,301,Delivered,TRK611240
DHL,20-02-2024,302,14-02-2024,302,Delivered,TRK034046
FedEx,25-06-2024,303,21-06-2024,303,Shipped,TRK983766
UPS,02-01-2024,304,26-12-2023,304,Delivered,TRK618442
DHL,17-04-2024,305,11-04-2024,305,Delivered,TRK438086
FedEx,31-01-2024,306,28-01-2024,306,Pending,TRK240590
UPS,15-09-2024,307,13-09-2024,307,Delivered,TRK864558
DHL,02-05-2024,308,26-04-2024,308,Cancelled,TRK001041
FedEx,24-03-2024,309,20-03-2024,309,Delivered,TRK640405
UPS,07-08-2024,310,02-08-2024,310,Shipped,TRK902383
DHL,27-02-2024,311,20-02-2024,311,Shipped,TRK322376
FedEx,02-12-2023,312,25-11-2023,312,Delivered,TRK145267
UPS,24-01-2024,313,19-01-2024,313,Shipped,TRK188241
DHL,02-01-2024,314,01-01-2024,314,Pending,TRK535982
FedEx,30-09-2024,315,25-09-2024,315,Delivered,TRK111101
UPS,17-02-2024,316,10-02-2024,316,Shipped,TRK811055
DHL,24-12-2023,317,21-12-2023,317,Pending,TRK812878
FedEx,08-05-2024,318,04-05-2024,318,Delivered,TRK144233
UPS,31-05-2024,319,27-05-2024,319,Delivered,TRK869898
DHL,29-09-2024,320,21-09-2024,320,Delivered,TRK600618
FedEx,29-06-2024,321,28-06-2024,321,Shipped,TRK177368
UPS,17-11-2023,322,12-11-2023,322,Pending,TRK080452
DHL,19-04-2024,323,17-04-2024,323,Shipped,TRK517821
FedEx,14-02-2024,324,08-02-2024,324,Delivered,TRK018312
UPS,02-03-2024,325,27-02-2024,325,Delivered,TRK691409
DHL,14-09-2024,326,13-09-2024,326,Shipped,TRK234014
FedEx,14-02-2024,327,10-02-2024,327,Shipped,TRK500776
UPS,23-12-2023,328,16-12-2023,328,Delivered,TRK298029
DHL,18-06-2024,329,15-06-2024,329,Shipped,TRK455071
FedEx,20-03-2024,330,19-03-2024,330,Shipped,TRK565241
UPS,16-05-2024,331,15-05-2024,331,Shipped,TRK083094
DHL,14-08-2024,332,08-08-2024,332,Pending,TRK847279
FedEx,12-01-2024,333,11-01-2024,333,Pending,TRK820122
UPS,05-04-2024,334,29-03-2024,334,Delivered,TRK626160
DHL,13-01-2024,335,06-01-2024,335,Shipped,TRK692917
FedEx,15-08-2024,336,09-08-2024,336,Delivered,TRK284872
UPS,30-04-2024,337,27-04-2024,337,Shipped,TRK146916
DHL,17-06-2024,338,09-06-2024,338,Delivered,TRK405947
FedEx,10-02-2024,339,06-02-2024,339,Shipped,TRK378018
UPS,09-02-2024,340,03-02-2024,340,Shipped,TRK744530
DHL,08-08-2024,341,03-08-2024,341,Shipped,TRK900801
FedEx,24-02-2024,342,19-02-2024,342,Pending,TRK616841
UPS,23-04-2024,343,20-04-2024,343,Delivered,TRK951128
DHL,05-06-2024,344,31-05-2024,344,Delivered,TRK513880
FedEx,08-02-2024,345,03-02-2024,345,Shipped,TRK095420
UPS,31-10-2024,346,25-10-2024,346,Delivered,TRK964826
DHL,14-10-2024,347,11-10-2024,347,Shipped,TRK934226
FedEx,25-02-2024,348,24-02-2024,348,Shipped,TRK818166
UPS,25-08-2024,349,19-08-2024,349,Shipped,TRK485810
DHL,23-11-2023,350,17-11-2023,350,Shipped,TRK993833
FedEx,28-12-2023,351,22-12-2023,351,Pending,TRK680472
UPS,08-09-2024,352,01-09-2024,352,Pending,TRK551722
DHL,09-08-2024,353,06-08-2024,353,Pending,TRK296346
FedEx,10-06-2024,354,03-06-2024,354,Delivered,TRK999761
UPS,11-08-2024,355,04-08-2024,355,Shipped,TRK451832
DHL,11-05-2024,356,10-05-2024,356,Delivered,TRK214430
FedEx,20-12-2023,357,17-12-2023,357,Delivered,TRK789699
UPS,27-05-2024,358,25-05-2024,358,Shipped,TRK480191
DHL,27-04-2024,359,19-04-2024,359,Pending,TRK369578
FedEx,27-02-2024,360,20-02-2024,360,Delivered,TRK035018
UPS,01-11-2024,361,26-10-2024,361,Delivered,TRK066115
DHL,07-05-2024,362,04-05-2024,362,Pending,TRK535727
FedEx,22-01-2024,363,16-01-2024,363,Shipped,TRK780825
UPS,06-06-2024,364,03-06-2024,364,Delivered,TRK955755
DHL,12-10-2024,365,05-10-2024,365,Delivered,TRK386156
FedEx,25-01-2024,366,20-01-2024,366,Cancelled,TRK323270
UPS,22-04-2024,367,18-04-2024,367,Delivered,TRK955771
DHL,20-05-2024,368,13-05-2024,368,Pending,TRK184151
FedEx,19-04-2024,369,18-04-2024,369,Shipped,TRK280390
UPS,29-05-2024,370,22-05-2024,370,Shipped,TRK993058
DHL,10-04-2024,371,08-04-2024,371,Pending,TRK576455
FedEx,24-12-2023,372,16-12-2023,372,Pending,TRK244697
UPS,21-06-2024,373,14-06-2024,373,Pending,TRK477320
DHL,28-04-2024,374,26-04-2024,374,Shipped,TRK537732
FedEx,08-11-2024,375,04-11-2024,375,Delivered,TRK406136
UPS,31-01-2024,376,27-01-2024,376,Shipped,TRK883729
DHL,20-04-2024,377,17-04-2024,377,Shipped,TRK944081
FedEx,06-01-2024,378,01-01-2024,378,Pending,TRK048693
UPS,19-10-2024,379,12-10-2024,379,Shipped,TRK545706
DHL,02-10-2024,380,28-09-2024,380,Delivered,TRK348239
FedEx,13-12-2023,381,11-12-2023,381,Shipped,TRK999529
UPS,29-04-2024,382,27-04-2024,382,Shipped,TRK502526
DHL,03-09-2024,383,31-08-2024,383,Pending,TRK995106
FedEx,29-12-2023,384,26-12-2023,384,Shipped,TRK585814
UPS,30-07-2024,385,27-07-2024,385,Shipped,TRK495246
DHL,04-02-2024,386,30-01-2024,386,Delivered,TRK403171
FedEx,29-06-2024,387,22-06-2024,387,Pending,TRK091888
UPS,30-01-2024,388,25-01-2024,388,Delivered,TRK614430
DHL,16-10-2024,389,12-10-2024,389,Delivered,TRK667677
FedEx,23-02-2024,390,19-02-2024,390,Delivered,TRK900704
UPS,04-07-2024,391,30-06-2024,391,Shipped,TRK254989
DHL,26-02-2024,392,21-02-2024,392,Pending,TRK916014
FedEx,18-03-2024,393,14-03-2024,393,Pending,TRK713606
UPS,03-02-2024,394,27-01-2024,394,Delivered,TRK527199
DHL,12-10-2024,395,07-10-2024,395,Delivered,TRK910872
FedEx,05-11-2024,396,02-11-2024,396,Shipped,TRK291084
UPS,19-02-2024,397,16-02-2024,397,Shipped,TRK690238
DHL,30-08-2024,398,29-08-2024,398,Delivered,TRK523724
FedEx,23-08-2024,399,22-08-2024,399,Pending,TRK485851
UPS,18-06-2024,400,14-06-2024,400,Delivered,TRK812509
DHL,21-08-2024,401,17-08-2024,401,Delivered,TRK584033
FedEx,16-01-2024,402,14-01-2024,402,Pending,TRK534476
UPS,28-10-2024,403,27-10-2024,403,Shipped,TRK073745
DHL,23-03-2024,404,20-03-2024,404,Delivered,TRK379041
FedEx,22-02-2024,405,16-02-2024,405,Pending,TRK019686
UPS,14-06-2024,406,09-06-2024,406,Pending,TRK768714
DHL,01-05-2024,407,27-04-2024,407,Pending,TRK670474
FedEx,31-12-2023,408,28-12-2023,408,Delivered,TRK225050
UPS,22-06-2024,409,20-06-2024,409,Shipped,TRK461550
DHL,22-10-2024,410,15-10-2024,410,Shipped,TRK671768
FedEx,21-02-2024,411,20-02-2024,411,Delivered,TRK662236
UPS,18-10-2024,412,10-10-2024,412,Delivered,TRK798441
DHL,07-08-2024,413,05-08-2024,413,Shipped,TRK675081
FedEx,15-07-2024,414,09-07-2024,414,Shipped,TRK943611
UPS,27-07-2024,415,20-07-2024,415,Pending,TRK929734
DHL,25-05-2024,416,21-05-2024,416,Shipped,TRK600365
FedEx,09-04-2024,417,04-04-2024,417,Shipped,TRK622031
UPS,01-02-2024,418,27-01-2024,418,Cancelled,TRK678843
DHL,09-01-2024,419,06-01-2024,419,Pending,TRK269342
FedEx,29-09-2024,420,25-09-2024,420,Shipped,TRK351957
